	num_ancestors	num_children	a/(a+c)	frecuencia relativa	c/(a+c)	exp(-c)	log(1+a)
HP:0012514	8.0	5.0	0.6153846153846154	0.008135041692088672	0.38461538461538464	0.006737946999085467	0.9542425094393249
HP:0012515	11.0	0.0	1.0	0.003050640634533252	0.0	1.0	1.0791812460476249
HP:0012516	14.0	1.0	0.9333333333333333	NaN	0.06666666666666667	0.3678794411714424	1.1760912590556813
HP:0012517	5.0	0.0	1.0	0.0002033760423022168	0.0	1.0	0.7781512503836436
HP:0012518	14.0	5.0	0.7368421052631579	0.0012202562538133007	0.2631578947368421	0.006737946999085467	1.1760912590556813
HP:0012519	16.0	0.0	1.0	NaN	0.0	1.0	1.2304489213782739
HP:0012520	11.0	0.0	1.0	0.0036607687614399025	0.0	1.0	1.0791812460476249
HP:0012521	10.0	0.0	1.0	0.0006101281269066504	0.0	1.0	1.0413926851582251
HP:0012522	11.0	0.0	1.0	0.001016880211511084	0.0	1.0	1.0791812460476249
HP:0012523	9.0	0.0	1.0	0.003254016676835469	0.0	1.0	1.0
HP:0012524	5.0	0.0	1.0	0.0004067520846044336	0.0	1.0	0.7781512503836436
HP:0012525	7.0	0.0	1.0	NaN	0.0	1.0	0.9030899869919435
HP:0012526	8.0	0.0	1.0	0.0002033760423022168	0.0	1.0	0.9542425094393249
HP:0012527	7.0	0.0	1.0	0.0002033760423022168	0.0	1.0	0.9030899869919435
HP:0012528	7.0	2.0	0.7777777777777778	0.0008135041692088672	0.2222222222222222	0.13533528323661267	0.9030899869919435
HP:0012529	7.0	0.0	1.0	0.0002033760423022168	0.0	1.0	0.9030899869919435
HP:0012530	7.0	2.0	0.7777777777777778	0.0012202562538133007	0.2222222222222222	0.13533528323661267	0.9030899869919435
HP:0012531	3.0	65.0	0.04411764705882353	0.15985356924954242	0.9558823529411765	5.900090541597061e-29	0.6020599913279624
HP:0012532	4.0	0.0	1.0	0.0012202562538133007	0.0	1.0	0.6989700043360189
HP:0012533	4.0	0.0	1.0	0.0004067520846044336	0.0	1.0	0.6989700043360189
HP:0012534	7.0	0.0	1.0	0.003864144803742119	0.0	1.0	0.9030899869919435
HP:0012535	4.0	18.0	0.18181818181818182	NaN	0.8181818181818182	1.522997974471263e-08	0.6989700043360189
HP:0012536	4.0	0.0	1.0	NaN	0.0	1.0	0.6989700043360189
HP:0012537	4.0	2.0	0.6666666666666666	0.0018303843807199512	0.3333333333333333	0.13533528323661267	0.6989700043360189
HP:0012538	6.0	0.0	1.0	0.0002033760423022168	0.0	1.0	0.8450980400142568
HP:0012539	7.0	9.0	0.4375	0.008135041692088672	0.5625	0.00012340980408667956	0.9030899869919435
HP:0012540	8.0	0.0	1.0	NaN	0.0	1.0	0.9542425094393249
HP:0012541	6.0	0.0	1.0	0.0018303843807199512	0.0	1.0	0.8450980400142568
HP:0012542	6.0	0.0	1.0	0.0004067520846044336	0.0	1.0	0.8450980400142568
HP:0012543	8.0	0.0	1.0	0.0004067520846044336	0.0	1.0	0.9542425094393249
HP:0012544	6.0	0.0	1.0	0.001016880211511084	0.0	1.0	0.8450980400142568
HP:0012545	6.0	0.0	1.0	0.0004067520846044336	0.0	1.0	0.8450980400142568
